DMA,Sector,Household,Non-household
553,YO26 8,172,30
555,S5 0,883,21
556,WF14 9,905,8
557,HU2 0,536,25
557,HU2 8,27,15
557,HU2 9,705,20
557,HU3 1,167,58
557,HU5 1,24,35
558,S10 5,1118,55
560,YO51 9,107,21
561,DN2 5,814,44
561,DN2 6,650,6
562,S64 8,22,20
562,S64 9,1625,43
563,WF8 3,337,6
563,WF8 4,1324,18
564,HX3 5,233,16
564,HX3 6,276,36
565,YO32 2,745,127
565,YO32 3,1887,57
565,YO32 4,212,6
566,YO17 8,139,27
568,YO11 2,626,42
569,BD6 1,1047,92
570,WF12 7,141,22
570,WF17 6,482,8
571,S75 1,634,15
572,WF14 8,884,27
574,DL11 6,135,28
575,YO14 9,572,17
576,LS13 4,604,14
577,WF1 3,858,29
578,WF1 4,2055,21
579,YO7 2,50,10
580,HD4 5,801,17
580,HD4 7,100,17
581,LS28 8,963,46
583,LS23 7,366,24
584,DN11 9,52,9
584,DN4 8,1995,73
585,S2 2,92,32
585,S2 5,1459,83
586,S61 4,1009,50
587,S17 3,375,12
587,S17 4,115,21
588,BD17 6,611,9
589,S13 9,928,24
590,YO43 3,391,6
591,HU17 9,547,40
592,LS10 3,989,34
593,DL8 1,314,41
595,S10 1,689,14
595,S6 3,484,15
597,HG1 4,722,63
597,HG2 7,629,69
598,YO8 5,412,27
599,S75 2,541,7
600,S65 1,330,87
600,S65 2,718,7
600,S65 3,250,8
601,YO60 7,70,9
602,WF15 7,978,43
603,S66 8,1898,13
604,YO30 5,1151,41
604,YO30 6,93,7
605,LS28 8,846,25
606,LS28 7,1231,17
607,OL14 7,96,19
607,OL14 8,501,8
608,S10 5,480,9
609,HX6 2,846,34
610,WF10 1,383,54
611,YO41 1,1560,76
612,YO19 6,212,8
613,LS8 1,1172,26
614,S6 5,715,10
615,S7 2,167,10
615,S8 0,1017,28
617,YO24 4,449,9
618,HG5 8,181,13
619,LS10 1,377,92
619,LS10 2,281,38
620,HX1 1,312,376
620,HX1 5,25,22
